id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
ark://27927/pbf35z6nz,Chinese Intellectual Property and Technology Laws,Elgar E-Books,2011,10.4337/9780857935229,book,,portico,,2011-10-31,,,http://doi.org/10.4337/9780857935229,Rohan  Kariyawasam,Edward Elgar Publishing,eng,,,,intellectual property; kariyawasam textindd; trade secrets; chinese; beijing; m2666 kariyawasam textindd; chinese intellectual; technology; technology laws; protection,206924,520,unigram; bigram; trigram
ark://27927/phw8v7h3mm,Denmark's Ugly Ducklings: Georg Brandes and Asta Nielsen's Metacultural Contributions to Constructions of Danish National Identity,Scandinavian Studies,2011,,article,,portico,,2011-12-08,1,83,,Julie K. Allen,Project MUSE,eng,63,90,,asta nielsen; brandes; danish; georg brandes; denmark; copenhagen; brandes and asta; scandinavian studies; danish film; danish culture,11024,28,unigram; bigram; trigram
ark://27927/phzgn5n913r,"Book Review: Sather, Clifford. A Borneo healing romance: ritual storytelling and the Sugi Sakit, a Saribas Iban rite of healing. xvi, 559 pp., map, figs, illus., bibliogr. Phillips, Maine: Borneo Research Council, 2017. RM120 (paper)",Journal of the Royal Anthropological Institute,2020,10.1111/1467-9655.13323,article,,portico,,2020-09-01,3,26,http://doi.org/10.1111/1467-9655.13323,Michael Heppell,"John Wiley & Sons, Inc.",eng,661,662,,royal anthropological; anthropological institute; royal anthropological institute; illus bibliogr; heritage; archaeology; japanese; kuijpers; afro japanese; sliwinski,33830,45,unigram; bigram; trigram
http://www.jstor.org/stable/3172188,The Literary Legacy of Frederick Courteney Selous,History in Africa,1998,,article,research-article,jstor,,1998-01-01,,25,http://www.jstor.org/stable/3172188,E. Mandiringana; T. J. Stapleton,Cambridge University Press,eng,199,218,,selous; haggard; hunters wanderings; selous hunters; solomons mines; king solomons; courteney selous; ndebele; selous hunters wanderings; rhodesian,8541,20,unigrams; bigrams; trigrams
http://www.jstor.org/stable/j.ctv941r5j.12,NOTES,Parameters of Disavowal: Colonial Representation in South Korean Cinema,2018,,chapter,notes,jstor,,2018-01-01,,,http://www.jstor.org/stable/j.ctv941r5j.12,Jinsoo An,University of California Press,eng,133,164,"Oakland, California",korean; korean cinema; korean film; colonial; japanese; south korean; nationalist; tonga ilbo; postcolonial; kyung hyun,17480,31,unigrams; bigrams; trigrams; fullText
http://www.jstor.org/stable/26748087,Film Studies,The Year's Work in Modern Language Studies,2017,,article,research-article,jstor,,2017-01-01,,77,http://www.jstor.org/stable/26748087,Ben McCann,Modern Humanities Research Association,eng,61,71,,cinema; french cinema; screen; maghrebi; stardom; contemporary french; french film; film studies; argues; ageing,6504,11,unigrams; bigrams; trigrams
ark://27927/pbd841w1rg,"7. Luis Alcoriza; or, A Certain Antimelodramatic Tendency in Mexican Cinema",Latin American Melodrama,2009,,chapter,,portico,,2009-01-01,,,,Marvin DLugo,University of Illinois Press,eng,110,129,,melodrama; melodramatic; mecánica nacional; mexican; martín barbero; cinema; mexican cinema; mexico; doña lolita; maría candelaria,8143,20,unigram; bigram; trigram
ark://27927/phx2p1j0jpg,"Annual Film Book Survey, Part 1",Film Quarterly,2002,10.1525/fq.2002.55.4.49,article,,portico,,2002-06-01,4,55,http://doi.org/10.1525/fq.2002.55.4.49,,University of California Press,eng,49,73,,hollywood; movies; scandal; censorship; reality; audiences; cinema; studios; digital; perception,25051,25,unigram; bigram; trigram
https://chroniclingamerica.loc.gov/lccn/sn86063730/1936-03-16/ed-2,"Brownsville herald. [volume] : (Brownsville, Tex.) 1910-current, issue 1936-03-16","Brownsville herald. [volume] : (Brownsville, Tex.) 1910-current",1936,,newspaper,,loc-chronam,,1936-03-16,,,https://chroniclingamerica.loc.gov/lccn/sn86063730/1936-03-16/ed-2/,,Brownsville Herald Pub. Co.,spa; eng,1,8,"Brownsville, Tex.",assistants pet; brownsville; san benito; patton; valley; port isabel; mcgehee; mixed citrus; champion; sheriff sweeten,31460,8,unigrams; bigrams; trigrams
ark://27927/pjb6w1nwwkj,The politics of belonging in the Himalayas. Local attachments and boundary dynamics by Pfaff‐Czarnecka Joanna and Gerard Toffin,Social Anthropology,2013,10.1111/1469-8676.12004_17,article,book-review,portico,,2013-02-01,1,21,http://doi.org/10.1111/1469-8676.12004_17,SUBHADRA MITRA CHANNA,Berghahn,eng,115,116,,anthropologists; social anthropologists; intangible heritage; krause jensen; chibnik; anthropology; havana; mediterranean; political; mauritius,21201,29,unigram; bigram; trigram
ark://27927/phx4s1c0pc5,THE CHINESE CINEMATIC REMAKE AS TRANSNATIONAL APPEAL:,Transnational Film Remakes,2017,10.3366/j.ctt1g0522t.10,chapter,,portico,,2017-03-31,,,https://doi.org/10.3366/j.ctt1g0522t.10,Kenneth Chan,Edinburgh University Press,eng,87,102,,noodle shop; chinese; zhang yimou; cinematic; remake; transnational; cinema; coen brothers; china film; hollywood,6873,18,unigram; bigram; trigram
ark://27927/pjbd8k3hf7p,Issue Matter,Journal of International Cooperation in Education,2023,,article,null,portico,,2023-03-24,1,25,,,Emerald Group Publishing,eng,,,,education; policy; education policy; global education; briefs; policy briefs; pandemic; policy shaper; engagement; pandemic period,109620,168,unigram; bigram; trigram
ark://27927/phx339r0381,Review Index,American Studies,2008,,article,,portico,,2008-01-01,3-4,49,,,University of Kansas Libraries,eng,269,306,,american; reviewed; chinese; peretti; tribal; transpacific imaginations; history; photographers; awan museum; irish theater,21145,38,unigram; bigram; trigram
ark://27927/pbd86rd506,1. Moving Body: The Interactions Between Chinese Opera and Action Cinema,Hong Kong Connections,2005,,chapter,,portico,,2005-01-01,,,,Yung Sai-shing,"Hong Kong University Press, HKU",eng,21,34,,cantonese opera; martia; yuen siu; hong kon; chines; peking opera; jackie chan; yung sai; kok sin; cinema,8348,14,unigram; bigram; trigram
ark://27927/pjb22cjr7jj,Cinema's “Miracles”: Film Tricks and the Production of Soviet Wonder,Film History,2020,,article,research-article,portico,,2020-04-01,4,32,,Anne Eakin Moss,Indiana University Press,eng,33,59,,soviet; cinema; soviet cinema; ptushko; new gulliver; special effects; animation; motion animation; akin moss; cinematic,11064,27,unigram; bigram; trigram
ark://27927/phx13n7dp8b,A Southern Sublimation: Lynching Film and the Reconstruction of American Memory,The Southern Literary Journal,2008,,article,,portico,,2008-07-31,2,40,,Robert Jackson,Project MUSE,eng,102,120,,lynching; lynching film; southern; micheaux; southern sublimation; faulkner; southern literary; intruder; miss habersham; oscar micheaux,8130,19,unigram; bigram; trigram
ark://27927/phz96r3rkjp,Reflect early on your retirement plans,Dean and Provost,2019,10.1002/dap.30621,article,,portico,,2019-08-01,12,20,http://doi.org/10.1002/dap.30621,Dawn Z. Hodges Ph.D.,"John Wiley & Sons, Inc.",eng,3,3,,retirement; hodges phd; technical college; georgia; narcissistic dictator; consider; systemwide quarter; career; pitting employees; fastpaced environment,797,1,unigram; bigram; trigram
ark://27927/pjbbbd75zpk,A quantitative analysis of age-related differences in Hindi–English code-switching,International Journal of Bilingualism,2021,10.1177/13670069211028311,article,research-article,portico,,2021-12-01,6,25,http://doi.org/10.1177/13670069211028311,T. Mark Ellison; Aung Si,SAGE Publications,eng,1510,1528,,indices; speakers; burstiness; guzman; hindi english; switching; span length; language; insertions; killer crónicas,12458,19,unigram; bigram; trigram
ark://27927/pjb1xhhm5nk,The Relationship Between Transactional Leadership and OCB: A Conditional Analysis of Organizational Justice Perception and Psychological Contract Fulfillment,SAGE Open,2021,10.1177/21582440211061563,article,research-article,portico,,2021-10-01,4,11,http://doi.org/10.1177/21582440211061563,Panteha Farmanesh; Amira Daouk; Pouya Zargar,SAGE Publications,eng,,,,transactional leadership; organizational; tourism; employees; psychological contract; organizational citizenship; citizenship behavior; transformational leadership; contract fulfillment; behaviors,8490,13,unigram; bigram; trigram
http://www.jstor.org/stable/24720667,"From the Studio to the Front-line: The Emergence, Development, and Impact of Asian Photographers in Colonial and Independent East Africa",African Arts,2015,,article,research-article,jstor,,2015-10-01,3,48,http://www.jstor.org/stable/24720667,Nasira Sheikh-Miller,Regents of the University of California,eng,38,47,,studio; personal communication; east africa; dhillon; nairobi; bachu bhai; mohamed amin; photographers; zanzibar; bhai patel,9877,10,unigrams; bigrams; trigrams
ark://27927/pgh3pcc94bb,Katharine Mitchell and Helena Sanson (eds) Women and Gender in Post-Unification Italy: Between Private and Public Spheres,Forum Italicum,2014,10.1177/0014585814542578,article,,portico,,2014-11-01,3,48,http://doi.org/10.1177/0014585814542578,Laura A Salsini,SAGE Publications,eng,639,640,,matilde serao; unification italy; post unification italy; helena sanson; literary; female; katharine mitchell; motherhood; spinster; elvira notari,960,2,unigram; bigram; trigram
ark://27927/pjb1rz7w5h4,Nordic Literature,Benjamins E-Books,2017,10.1075/chlel.xxxi,book,,portico,,2017-12-15,,,http://doi.org/10.1075/chlel.xxxi,Steven P. Sondrup; Mark B. Sandberg; Thomas A. DuBois; Dan Ringgaard,John Benjamins Publishing Company,eng,,,,nordic; literary; nordic region; norway; denmark; nordic literature; literary cultures; literary histories; finland; university,393468,765,unigram; bigram; trigram
ark://27927/phz954vh4sg,Social Theory for Today: Making Sense of Social Worlds,SAGE KNOWLEDGE,2015,10.4135/9781473910447,book,,portico,,2015-01-01,,,http://doi.org/10.4135/9781473910447,Alex Law,SAGE Publications,eng,,,,social theory; crisis; sociology; philosophy; theoretical; sensate culture; sensate; sociological theory; sorokin; gouldner,156119,345,unigram; bigram; trigram
http://www.jstor.org/stable/44148161,INDUSRTIALIZATION OF BOMBAY: ROLE OF THE PARSIS AND THE JEWS,Proceedings of the Indian History Congress,2000,,article,research-article,jstor,,2000-01-01,,61,http://www.jstor.org/stable/44148161,N. Benjamin,Indian History Congress,eng,871,887,,bombay; parsis; sassoon; indian; mumbai; jehangir; bene israelis; millennium session; company; modem india,6900,17,unigrams; bigrams; trigrams
http://www.jstor.org/stable/j.ctt6wq3vz.10,Conclusion,Reframing Italy: New Trends in Italian Women's Filmmaking,2013,,chapter,chapter,jstor,,2013-01-01,,59,http://www.jstor.org/stable/j.ctt6wq3vz.10,Bernadette Luciano; Susanna Scarparo,Purdue University Press,eng,185,194,"West Lafayette, Indiana",cinema; italian cinema; film industry; women filmmakers; filmmakers; female; make films; femminile; female gaze; morales bergmann,3721,9,unigrams; bigrams; trigrams; fullText
ark://27927/pjc63q97prd,TRUE-BIZ DEAF1: An Exploration of How Deaf Creators Use TikTok,The Emerald Handbook of Computer-Mediated Communication and Social Media,2022,10.1108/978-1-80071-597-420221020,chapter,,portico,,2022-06-27,,,https://doi.org/10.1108/978-1-80071-597-420221020,Edward H. Bart IV; Arlinda Boland; Summer Shelton; Teri Del Rosso,Emerald Group Publishing,eng,341,357,,deaf creators; deaf people; deaf identity; videos; hearing; deaf community; content; creators use; hashtags; social,9753,17,unigram; bigram; trigram
http://www.jstor.org/stable/j.ctv301dk8.5,"Popular Music, Stars and Stardom:","Popular Music, Stars and Stardom",2018,,chapter,chapter,jstor,,2018-01-01,,,http://www.jstor.org/stable/j.ctv301dk8.5,Stephen Loy; Julie Rickwood; Samantha Bennett; STEPHEN LOY; JULIE RICKWOOD; SAMANTHA BENNETT,ANU Press,eng,1,20,Australia,stardom; popular music; celebrity; stars and stardom; music stars; discourses interpretations; definitions discourses; stardom within; music stardom; stardom and celebrity,7442,19,unigrams; bigrams; trigrams; fullText
ark://27927/pjcx9v5wsc,Levelling the playing field,Music Teacher,2024,,article,other,portico,,2024-10-01,10,103,,Jodie UnderhillDr,Mark Allen Group,eng,29,29,,creative industries; backgrounds; extracurricular music; social mobility; apprenticeships; privileged backgrounds; creative occupations; schools; barriers; students,905,1,unigram; bigram; trigram
ark://27927/phzmzbzxjpg,Issue Matter,International Journal of Public Sector Management,2020,,article,,portico,,2020-01-13,1,33,,,Emerald Group Publishing,eng,,,,government entities; sector; knowledge; performance; public; processes; sector organizations; knowledge management; sector entities; semi government entities,65337,116,unigram; bigram; trigram
ark://27927/phzhd2bnncq,"Book Review: (Related-Object: Footbinding as Fashion: Ethnicity, Labor, and Status in Traditional China. John Robert Shepherd. Seattle: University of Washington Press, 2018. 272 pp.)",American Ethnologist,2020,10.1111/amet.12918,article,,portico,,2020-08-01,3,47,http://doi.org/10.1111/amet.12918,SUZANNE BARBER,"John Wiley & Sons, Inc.",eng,311,312,,footbinding; catia tve; american ethnologist; indigenous; conversion; kravel tovi; border; statecraft; religion; ethnographic,44612,52,unigram; bigram; trigram
ark://27927/pgjn593rr,Vodou Nation: Haitian Art Music and Cultural Nationalism by Michael Largey,American Ethnologist,2012,10.1111/j.1548-1425.2012.01385_24.x,article,,portico,,2012-08-01,3,39,http://doi.org/10.1111/j.1548-1425.2012.01385_24.x,WILLIAM HOPE,"John Wiley & Sons, Inc.",eng,656,658,,american ethnologist; walking tour; sorcery; tablas; tour guides; steinberg; plastic surgery; ethnography; miniskirts; gonzález,28144,33,unigram; bigram; trigram
ark://27927/pfksg0r55,The Home Office and the BBFC Presidency 1985–98,Journal of British Cinema & TV,2006,10.3366/JBCTV.2006.3.2.318,article,research-article,portico,,2006-11-01,2,3,http://doi.org/10.3366/JBCTV.2006.3.2.318,James C. Robertson,Edinburgh University Press,eng,318,329,,ferman; home office; mellor; birkett; harewood; whittam smith; trethowan; video recordings; samuelson; monica sims,5892,12,unigram; bigram; trigram
http://www.jstor.org/stable/j.ctv25wxbjs,Planetary Cinema,,2022,,book,book,jstor,,2022-01-01,,,http://www.jstor.org/stable/j.ctv25wxbjs,Tiago de Luca,Amsterdam University Press,eng,,,Amsterdam,cinema; intolerance; planetary cinema; worked humanit; griff ith’s; béla balázs; narrative; universal language; network; universalism,129147,,unigrams; bigrams; trigrams; fullText
ark://27927/pgg1f1n8vwb,"John de Vere, Thirteenth Earl of Oxford, 1442–1513, ‘The Foremost Man of the Kingdom’– By James Ross",History,2012,10.1111/j.1468-229X.2011.00543_17.x,article,bookreview,portico,,2012-01-01,325,97,http://doi.org/10.1111/j.1468-229X.2011.00543_17.x,LINDA CLARK,"John Wiley & Sons, Inc.",eng,143,145,,blackwell publishing; claudius; history; ottomans; historical; mckibbin; short notices; slavery; century; osgood,37514,65,unigram; bigram; trigram
http://www.jstor.org/stable/41686759,Front Matter,Cinéaste,1982,,article,misc,jstor,,1982-01-01,1,12,http://www.jstor.org/stable/41686759,,"Cineaste Publishers, Inc",eng,,,,lenny rubenstein; cinema; udayan gupta; interviews; richard linnett; daniel bickley; gary crowdus; costa gavras; melanie wallace; film festival,4072,10,unigrams; bigrams; trigrams
http://www.jstor.org/stable/742595,"Irving Berlin's ""Blue Skies"": Ethnic Affiliations and Musical Transformations",The Musical Quarterly,2000,,article,research-article,jstor,,2000-12-01,4,84,http://www.jstor.org/stable/742595,Jeffrey Magee,Oxford University Press,eng,537,580,,blue skies; berlins; jewish; irving berlins; berlins blue; jazz singer; chorus; musical; pan alley; berlins blue skies,15729,44,unigrams; bigrams; trigrams
ark://27927/pjbhvgn2tmk,8. Theatre and Drama,Literary History of Canada,1990,,chapter,,portico,,1990-01-01,,,,"Brian Parker, Cynthia Zimmerman",University of Toronto Press,eng,,,,theatre; canadian; canadian plays; collective creations; companies; playwrights; festival; toronto; regional theatres; nova scotia,17989,31,unigram; bigram; trigram
http://www.jstor.org/stable/40407637,First Flush,Books Ireland,2009,,article,book-review,jstor,,2009-09-01,314,,http://www.jstor.org/stable/40407637,,Wordwell Ltd.,eng,187,201,,ireland; dublin; celtic tiger; photos; email info; independence; books ireland; lilliput; economic; fenianism,28875,15,unigrams; bigrams; trigrams
ark://27927/phzfjfhggj3,2. Samurai at the Sure Seaters: 1950s “Highbrow” Japanese Movies in the United States,How to Reach Japan by Subway,2018,,chapter,,portico,,2018-01-01,,,,Meghan Warner Mettler,University of Nebraska Press,eng,,,,sure seaters; japanese; rashomon; movies; samurai; critics; hollywood; studios; japanese cinema; japanese movies,8779,24,unigram; bigram; trigram
ark://27927/phzfk1bnf30,Notes	,Star Attractions,2019,,chapter,,portico,,2019-01-01,,,,"Jeffers McDonald, Tamar; Lanckman, Lies",University of Iowa Press,eng,,,,photoplay; fan magazine; cinema; movie magazine; slide fan; screen; new movie; picture; jeffers mcdonald; slide fan magazine,13497,34,unigram; bigram; trigram
ark://27927/phzn01d3jsc,Issue Matter,Arts and the Market,2018,,article,,portico,,2018-09-17,2,8,,,Emerald Group Publishing,eng,,,,market; east asia; cultural; taiwan; visual arts; chinese; art markets; political; arts marketing; south korea,40839,72,unigram; bigram; trigram
ark://27927/pjcpdh135r,The structure of an uncertain world: Combining sequences classification and career life histories to identify narrative schemas in the careers of financial journalists,Bulletin de Méthodologie Sociologique,2024,10.1177/07591063241258085,article,research-article,portico,,2024-07-01,1,163,http://doi.org/10.1177/07591063241258085,Antoine Machut,SAGE Publications,eng,14,51,,financial; sequences; journalists; financial news; trajectories; méthodologie sociologique; careers; optimal matching; linkedin; professional,21899,38,unigram; bigram; trigram
ark://27927/phzn7pnqf8w,"“To Wage a War”: Crime, Race, and State Making in the Age of FDR",Studies in American Political Development,2021,10.1017/S0898588X2000019X,article,research-article,portico,,2021-04-01,1,35,http://doi.org/10.1017/S0898588X2000019X,Matthew G. T. Denney,Cambridge University Press,eng,16,56,,police; enforcement; racial; ratchet effect; racial violence; violence; logics; federal; justice; criminal,34981,41,unigram; bigram; trigram
ark://27927/pjcdpb05hn,Introduction,Fade to Gray,2016,,chapter,,portico,,2016-01-01,,,,"McVittie, Nancy; Shary, Timothy",University of Texas Press,eng,,,,movies; characters; older characters; cinema; hollywood; representations; older age; cultural; older people; films made,7378,18,unigram; bigram; trigram
ark://27927/pbd8153j33,Chapter Three: Viewing Crime,Crime and Media in Contemporary France,2007,,chapter,,portico,,2007-01-01,,,,"Reisinger, Deborah Streifford",Purdue University Press,eng,40,64,,pas sommeil; camille; fait divers; j’ai pas sommeil; paulin; criminal; j’ai pas; camera; spectators; killer,14125,25,unigram; bigram; trigram
http://www.jstor.org/stable/saoa.crl.34637402,"Amrita Bazar Patrika (November 30, 1947)",,1947,,newspaper,,saoa,South Asia Open Archives (SAOA) | Print; Newspapers,1947-11-30,313,79,http://www.jstor.org/stable/saoa.crl.34637402,Tushar Kanti Ghosh,Printed by Nirmal Ch. Ghosh at the Patrika Press,eng,,,"Calcutta, West Bengal, India",calcutta; patrika; patrika cal; wanted; bengal; raiders; indian; railway; office; tenders,38684,12,unigrams; bigrams; trigrams
http://www.jstor.org/stable/20688896,Women's Film Culture in the Sixties: Stars and Anti-Stars from Papas Kino to the German New Wave,Women in German Yearbook,1999,,article,research-article,jstor,,1999-01-01,,15,http://www.jstor.org/stable/20688896,Temby Caprio,University of Nebraska Press,eng,201,225,,pulver; film culture; temby caprio; womens film; sixties; german; papas kino; neun leben; german film; new wave,10472,25,unigrams; bigrams; trigrams
ark://27927/phw8mf8761,Success the Whitefriars Way: Ram Alley and the Negative Force of Acting,Renaissance Drama,2011,10.1353/rnd.2010.0003,article,,portico,,2011-11-16,null,38,http://doi.org/10.1353/rnd.2010.0003,Jeremy Lopez,Project MUSE,eng,199,224,,ram alley; whitefriars; theatrical; whitefriars way; jeremy lopez; theater; throat; lording; constantia; sir oliver,11409,26,unigram; bigram; trigram
http://www.jstor.org/stable/10.7591/j.ctt1g69xhw,Revolutionary Acts,,2000,,book,book,jstor,,2000-01-01,,,http://www.jstor.org/stable/10.7591/j.ctt1g69xhw,LYNN MALLY,Cornell University Press,eng,,,Ithaca,theater; amateur; revolution; red army; petrograd; moscow; amateur stages; theatrical; soviet; krasnaia gazeta,98989,,unigrams; bigrams; trigrams; fullText
ark://27927/pbf35z9zn,International Knowledge and Innovation Networks,Elgar E-Books,2009,10.4337/9781848449084,book,,portico,,2009-06-30,,,http://doi.org/10.4337/9781848449084,Riccardo  Cappellin; Rüdiger  Wink,Edward Elgar Publishing,eng,,,,sectors; medium technology; tech sectors; technology sectors; manufacturing; innovation; medium tech; knowledge; networks; innovation networks,103640,288,unigram; bigram; trigram
ark://27927/phx645r0g91,Book Reviews,Journalism & Mass Communication Quarterly,2002,10.1177/107769900207900313,article,,portico,,2002-09-01,3,79,http://doi.org/10.1177/107769900207900313,,SAGE Publications,eng,744,798,,journalism; reviewed; mass communication; compassion fatigue; television; television advertising; advertising; chapel hill; public; sandhya rao,31709,56,unigram; bigram; trigram
ark://27927/pjbkc80htfg,Issue Matter,Management Research Review,2023,,article,null,portico,,2023-10-17,11,46,,,Emerald Group Publishing,eng,,,,need frustration; role conflict; silence; employee; employee silence; employee voice; supervisor support; organizational; moderated mediation; voice and silence,146222,216,unigram; bigram; trigram
ark://27927/phz2qgm0ztv,"Idrissa Ouedraogo, The Maestro of Burkinabe Cinema",African Studies Review,2018,10.1017/asr.2018.69,article,,portico,,2018-08-30,3,61,http://doi.org/10.1017/asr.2018.69,Boukary Sawadogo,Cambridge University Press,eng,207,208,,burkina faso; idrissa ouedraogo; burkinabe; burkinabe cinema; cinema; kadi jolie; burkinabe feature; african; african film; pour convaincre,846,2,unigram; bigram; trigram
ark://27927/pbd9djnt0n,History of the Literary Cultures of East-Central Europe,Benjamins E-Books,2004,10.1075/chlel.xix,book,,portico,,2004-05-28,,,http://doi.org/10.1075/chlel.xix,Marcel Cornis-Pope; John Neubauer,John Benjamins Publishing Company,eng,,,,central europe; marcel cornis; cornis pope; literary; john neubauer; marcel cornis pope; mitteleuropa; history; literary history; east central europe,354348,668,unigram; bigram; trigram
http://www.jstor.org/stable/community.28040580,Media Report to Women,,1978,,document,,reveal,Feminist; Independent Voices,1978-09-01,9,6,http://www.jstor.org/stable/community.28040580,,Women's Institute for Freedom of the Press,,,,"Washington, DC",puerto rican; sports; rican women; newsletter; media report; sister courage; granum; puerto rican women; basketball; breakthrough,18901,16,unigrams; bigrams; trigrams; fullText
ark://27927/pjbd2npdtdv,Post-independence challenges for Caribbean tourism development: a solution-driven approach through Agenda 2030,Tourism Review,2023,10.1108/TR-01-2022-0049,article,e-viewpoint,portico,,2023-04-07,2,78,http://doi.org/10.1108/TR-01-2022-0049,Sherma Roberts; Beienetch Watson; Larisa Monae McBean; Andrew J. Spencer; Acolla Lewis-Cameron; Therez B. Walker,Emerald Group Publishing,eng,580,613,,tourism; sustainable tourism; tourism development; caribbean; anglophone caribbean; caribbean sids; barbados; sustainable tourism development; islands; tourism review,24648,34,unigram; bigram; trigram
ark://27927/phw1nmgx2qx,six: The Cameraman Has Visited Your Town: The Local Film and the Politics of Recognition,Main Street Movies,2018,,chapter,,portico,,2018-01-01,,,,Martin L. Johnson,Indiana University Press,eng,163,200,,waters; recognition; movies; camera; cinema; local films; mutual recognition; people; filmed; isited your tow,16267,38,unigram; bigram; trigram
ark://27927/pjc19dx9sz4,"Abstracts of the 4th World Parkinson Congress, September 20–23, 2016, Portland, OR, USA",Journal of Parkinson’s Disease,2016,10.3233/JPD-169900,article,abstract,portico,,2016-09-01,Supplement 1,6,http://doi.org/10.3233/JPD-169900,,SAGE Publications,eng,1,284,,disease; parkinson’s disease; patients; parkinson; symptoms; psychosis; therapy; clinical; interdisciplinary care; motor symptoms,338213,286,unigram; bigram; trigram
ark://27927/pbd80x5ghz,"27. A super motion picture of . . . epoch-making magnificence
",Vernon and Irene Castle&#39;s Ragtime Revolution,2007,,chapter,,portico,,2007-01-01,,,,Eve Golden,The University Press of Kentucky,eng,164,175,,patria; hearst; ragtime revolution; castle; vernon; whartons; filming; milton sills; serial; castle’s ragtime,4894,12,unigram; bigram; trigram
ark://27927/pgg1f4rcxxz,American Urban Form: A Representative History by Sam Bass Warner and Andrew H. Whittemore,Journal of Regional Science,2012,10.1111/jors.12006_10,article,,portico,,2012-12-01,5,52,http://doi.org/10.1111/jors.12006_10,Edward K. Muller,"John Wiley & Sons, Inc.",eng,891,893,,performative; wiley periodicals; climate; geography; transport; environmental determinism; transportation economics; venture labor; cities; sullivan,18756,26,unigram; bigram; trigram
ark://27927/pjbnx6zzg43,"Review: How Documentaries Went Mainstream: A History, 1960–2022, by Nora Stone",Film Quarterly,2024,10.1525/fq.2024.77.3.103,article,book-review,portico,,2024-04-01,3,77,http://doi.org/10.1525/fq.2024.77.3.103,Devin Thomas,University of California Press,eng,103,104,,documentary; nonfiction; documentaries went; public television; nonfiction films; went mainstream; film festivals; documentary films; documentaries went mainstream; streaming,1797,2,unigram; bigram; trigram
ark://27927/phx614dgcqt,Reviews,Media International Australia,1989,10.1177/1329878X8905200121,article,,portico,,1989-05-01,1,52,http://doi.org/10.1177/1329878X8905200121,Henry Mayer,SAGE Publications,eng,75,130,,australian; sydney; issues; theres; broadcasting tribunal; advertising; australian broadcasting; industry; television; north sydney,32266,56,unigram; bigram; trigram
http://www.jstor.org/stable/j.ctt46n2b5.18,Indonesia Merdeka (1945-1946),Living Dangerously: A Biography of Joris Ivens,2000,,chapter,chapter,jstor,,2000-01-01,,,http://www.jstor.org/stable/j.ctt46n2b5.18,Hans Schoots,Amsterdam University Press,eng,194,210,Amsterdam,joris ivens; indonesia; indonesia merdeka; van dongen; marion michelle; indonesians; van mook; indonesia calling; australia; dutch east,7532,16,unigrams; bigrams; trigrams; fullText
ark://27927/pgg1w7cz0pk,Reviews,Critical Studies in Television,2008,10.7227/CST.3.2.9,article,review-article,portico,,2008-01-01,2,3,http://doi.org/10.7227/CST.3.2.9,Lez Cooke; K.J. Shepherdson; Patricia Holland; Tim O'Sullivan; John Corner; Phil Wickham; Matt Hills; Janet McCabe; Angelina Karpovich; Lorna Jowett; Susanna Capon; David Lavery,Manchester University Press,eng,100,102,,television; garnett; audience; television drama; storyline; comedy; sexual abuse; medhurst; documentary; henderson,21304,30,unigram; bigram; trigram
ark://27927/pbd93w29sd,6. The Production of Glamour: Intimate Apparel Workers and Union Culture,An Intimate Affair,2007,,chapter,,portico,,2007-01-01,,,,Jill Fields,University of California Press,eng,217,255,,workers; garment; garment workers; undergarment; white goods; fashion; corset; pins and needles; undergarment workers; production,15816,39,unigram; bigram; trigram
http://www.jstor.org/stable/community.28040062,Los Angeles Free Press,,1973,,newspaper,,reveal,Independent Voices; Campus Underground,1973-11-02,485,10,http://www.jstor.org/stable/community.28040062,JERRY GOLDBERG; JACK MARGOLIS; JACK ANDERSON; JAMES R. WILLIAMS; MARK ROONEY; LINDA BUISSON; CHRIS VAN NESS; DICK LOCHTE; MARK PLUMMER; SANDY YARAS; DON BUDAY; Fodd Evereff; DON RAY; E. CARLIN; DICK LOCHTE; SANDY YARAS; ROGER GENTRY; JOHN FLYNN; CHARLES BUKOWSKI; WALTER ZELMAN; ART LABOE; TOM THOMPSON; DAVID ALLEN; JAMES R. WILLIAMS; WALTER ZELMAN; JACK ANDERSON; RALPH NADER; NICHOLAS VAN HOFFMAN; JEANNE CORDOVA; LINDA BUISSON; GENA COREA; CHUCK STONE; ALICIA SANDOVAL; J. H.; Ben Perrick; Margaret Adam; Henry E. Smith; Mary-Lynne Fisher; Hank; Bill; Lawrence D. Hartford; Bernard R. Rickett; Rod; NINA ZACUTO; EDWIN KANTAR; Gyngr; TOM THOMPSON,,,,,"Los Angeles, CA",walter matthau; vlad tepes; people; siegel; drug addicts; picture; hollywood; please turn; winter berger; angeles,84372,56,unigrams; bigrams; trigrams; fullText
ark://27927/pjc1jkvdx7w,Issue Matter,International Journal of Emerging Markets,2024,,article,null,portico,,2024-10-28,10,19,,,Emerald Group Publishing,eng,,,,,628822,940,unigram; bigram; trigram
